service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20240318,20240531
11-1-127,1,1,1,1,1,1,1,20240318,20240531
1-1-127,1,1,1,1,1,1,1,20240318,20240531
12-1-127,1,1,1,1,1,1,1,20240318,20240531
13-1-127,1,1,1,1,1,1,1,20240318,20240531
14-1-127,1,1,1,1,1,1,1,20240318,20240531
15-1-127,1,1,1,1,1,1,1,20240318,20240531
16-1-127,1,1,1,1,1,1,1,20240318,20240531
17-1-127,1,1,1,1,1,1,1,20240318,20240531
18-1-127,1,1,1,1,1,1,1,20240318,20240531
19-1-127,1,1,1,1,1,1,1,20240318,20240531
20-1-127,1,1,1,1,1,1,1,20240318,20240531
21-1-127,1,1,1,1,1,1,1,20240318,20240531
2-1-127,1,1,1,1,1,1,1,20240318,20240531
22-1-127,1,1,1,1,1,1,1,20240318,20240531
23-1-127,1,1,1,1,1,1,1,20240318,20240531
24-1-127,1,1,1,1,1,1,1,20240318,20240531
3-1-127,1,1,1,1,1,1,1,20240318,20240531
4-1-127,1,1,1,1,1,1,1,20240318,20240531
5-1-127,1,1,1,1,1,1,1,20240318,20240531
6-1-127,1,1,1,1,1,1,1,20240318,20240531
7-1-127,1,1,1,1,1,1,1,20240318,20240531
8-1-127,1,1,1,1,1,1,1,20240318,20240531
9-1-127,1,1,1,1,1,1,1,20240318,20240531
